餐品ID,餐品名称,热量(kcal),碳水(g),钠(mg),糖(g),低盐标识,低糖标识
M001,红烧肉套餐,650,55,1200,8,False,False
M002,清蒸鱼套餐,420,30,600,3,True,True
M003,西红柿鸡蛋面,380,48,800,6,False,True
M004,宫保鸡丁套餐,520,42,950,7,False,False
M005,小米粥+馒头+咸菜,320,58,1500,4,False,False
M006,蒸南瓜+杂粮粥,280,45,300,5,True,True
M007,糖醋排骨套餐,620,52,1050,15,False,False
M008,冬瓜排骨汤套餐,400,35,700,4,True,True
M009,蛋炒饭,480,60,900,5,False,False
M010,白菜豆腐煲,300,25,500,3,True,True
M011,红烧狮子头套餐,580,40,1100,6,False,False
M012,蒸蛋羹+蔬菜+米饭,350,42,650,3,True,True
M013,咖喱牛肉饭,550,50,1000,4,False,False
M014,皮蛋瘦肉粥+花卷,340,46,850,3,False,True
M015,糖醋里脊套餐,560,48,1050,14,False,False
M016,清炒时蔬+米饭,280,38,400,2,True,True
M017,炸酱面,450,55,1200,6,False,False
M018,南瓜粥+全麦面包,260,40,350,5,True,True
M019,鱼香肉丝套餐,500,44,980,8,False,False
M020,素三鲜包子+豆浆,300,38,450,3,True,True
M021,酱肘子套餐,680,38,1400,5,False,False
M022,紫薯粥+鸡蛋,250,35,300,4,True,True
M023,回锅肉套餐,600,42,1150,7,False,False
M024,银耳莲子羹+馒头,270,50,350,10,False,True
M025,蒜蓉西兰花+米饭,290,35,450,2,True,True
M026,蜜汁叉烧饭,550,48,980,18,False,False
M027,山药排骨汤+米饭,380,40,650,3,True,True
M028,酸辣粉,400,52,1300,5,False,False
M029,荞麦面+蔬菜沙拉,310,35,380,2,True,True
M030,红豆沙+油条,350,55,550,12,False,False
