订单ID,老人ID,餐品ID,下单日期,餐次,餐品单价,补贴抵扣,自付金额,订单来源,订餐渠道,退餐原因
O000001,E0300,M019,2025-12-15,午餐,10,10.0,0.0,老人主动选择,电话订餐,
O000002,E0051,M018,2026-01-04,午餐,10,3.3,6.7,家属代订,小程序,
O000003,E0012,M023,2026-01-08,午餐,8,6.7,1.3,老人主动选择,现场点餐,
O000004,E0167,M029,2025-12-24,午餐,15,6.7,8.3,老人主动选择,小程序,
O000005,E0112,M002,2025-12-08,午餐,8,3.3,4.7,家属代订,电话订餐,盐分过高
O000006,E0162,M013,2026-01-12,午餐,10,10.0,0.0,老人主动选择,小程序,盐分过高
O000007,E0105,M016,2025-12-19,早餐,12,6.7,5.3,老人主动选择,电话订餐,
O000008,E0052,M022,2026-02-22,午餐,10,6.7,3.3,老人主动选择,电话订餐,
O000009,E0148,M027,2026-05-18,晚餐,8,6.7,1.3,老人主动选择,现场点餐,
O000010,E0252,M008,2026-01-16,晚餐,15,6.7,8.3,老人主动选择,电话订餐,
O000011,E0108,M019,2025-12-26,午餐,12,12.0,0.0,老人主动选择,小程序,
O000012,E0011,M003,2026-05-29,午餐,10,6.7,3.3,家属代订,电话订餐,
O000013,E0099,M019,2026-04-29,晚餐,10,10.0,0.0,食堂替换餐品,现场点餐,
O000014,E0157,M017,2026-04-12,午餐,15,6.7,8.3,老人主动选择,小程序,
O000015,E0284,M009,2026-04-22,晚餐,10,6.7,3.3,老人主动选择,电话订餐,
O000016,E0026,M021,2026-05-13,晚餐,10,6.7,3.3,家属代订,电话订餐,
O000017,E0170,M025,2026-03-11,午餐,15,6.7,8.3,食堂替换餐品,小程序,
O000018,E0210,M021,2026-02-01,午餐,8,6.7,1.3,老人主动选择,小程序,
O000019,E0263,M023,2026-03-03,早餐,8,3.3,4.7,老人主动选择,小程序,
O000020,E0042,M017,2026-05-26,早餐,8,6.7,1.3,老人主动选择,小程序,
O000021,E0284,M025,2026-01-24,晚餐,8,6.7,1.3,老人主动选择,小程序,
O000022,E0085,M001,2026-02-10,晚餐,12,12.0,0.0,家属代订,电话订餐,
O000023,E0172,M004,2026-01-29,早餐,12,6.7,5.3,食堂替换餐品,小程序,健康原因退餐
O000024,E0149,M023,2025-12-15,午餐,15,3.3,11.7,家属代订,小程序,
O000025,E0081,M027,2025-12-19,午餐,15,6.7,8.3,食堂替换餐品,小程序,
O000026,E0266,M015,2026-02-11,午餐,15,3.3,11.7,老人主动选择,电话订餐,
O000027,E0245,M012,2026-04-17,午餐,12,6.7,5.3,食堂替换餐品,现场点餐,
O000028,E0084,M025,2026-03-11,晚餐,10,3.3,6.7,老人主动选择,电话订餐,
O000029,E0111,M017,2026-04-17,早餐,12,12.0,0.0,老人主动选择,电话订餐,
O000030,E0097,M012,2026-01-26,早餐,8,6.7,1.3,家属代订,现场点餐,
O000031,E0264,M016,2026-02-06,早餐,8,3.3,4.7,老人主动选择,小程序,
O000032,E0219,M030,2025-12-11,午餐,10,3.3,6.7,老人主动选择,小程序,
O000033,E0176,M013,2025-12-25,午餐,15,3.3,11.7,家属代订,小程序,
O000034,E0259,M011,2026-02-10,午餐,12,3.3,8.7,老人主动选择,小程序,
O000035,E0257,M015,2026-04-08,午餐,10,10.0,0.0,家属代订,小程序,
O000036,E0252,M029,2026-03-28,晚餐,10,6.7,3.3,老人主动选择,电话订餐,
O000037,E0268,M016,2026-04-19,午餐,12,12.0,0.0,家属代订,小程序,
O000038,E0158,M006,2025-12-02,午餐,10,10.0,0.0,老人主动选择,社区代办,
O000039,E0051,M027,2026-03-26,晚餐,15,3.3,11.7,老人主动选择,现场点餐,
O000040,E0298,M026,2026-02-20,晚餐,12,6.7,5.3,老人主动选择,社区代办,
O000041,E0091,M011,2025-12-20,午餐,12,6.7,5.3,家属代订,小程序,
O000042,E0111,M015,2026-03-19,午餐,10,10.0,0.0,家属代订,现场点餐,
O000043,E0017,M005,2026-05-02,晚餐,15,15.0,0.0,老人主动选择,现场点餐,
O000044,E0130,M003,2025-12-16,早餐,15,3.3,11.7,老人主动选择,社区代办,其他原因
O000045,E0089,M026,2026-04-15,午餐,8,3.3,4.7,老人主动选择,电话订餐,
O000046,E0184,M002,2026-01-04,午餐,12,3.3,8.7,家属代订,现场点餐,
O000047,E0136,M001,2026-05-23,早餐,8,3.3,4.7,老人主动选择,小程序,
O000048,E0185,M015,2026-04-18,早餐,15,3.3,11.7,老人主动选择,小程序,
O000049,E0168,M002,2026-01-13,午餐,15,6.7,8.3,家属代订,小程序,
O000050,E0187,M028,2026-04-18,晚餐,8,3.3,4.7,食堂替换餐品,社区代办,
O000051,E0205,M029,2026-04-18,晚餐,12,12.0,0.0,老人主动选择,小程序,
O000052,E0102,M020,2026-04-29,晚餐,8,3.3,4.7,老人主动选择,小程序,
O000053,E0259,M006,2026-02-23,早餐,15,3.3,11.7,家属代订,社区代办,
O000054,E0276,M012,2026-02-20,午餐,15,3.3,11.7,家属代订,小程序,
O000055,E0040,M021,2026-05-25,晚餐,10,6.7,3.3,老人主动选择,现场点餐,
O000056,E0191,M016,2026-03-12,午餐,10,3.3,6.7,老人主动选择,现场点餐,
O000057,E0142,M014,2026-02-01,午餐,8,3.3,4.7,老人主动选择,小程序,
O000058,E0176,M004,2025-12-16,午餐,10,3.3,6.7,家属代订,小程序,
O000059,E0074,M008,2025-12-22,午餐,15,3.3,11.7,家属代订,电话订餐,
O000060,E0217,M012,2026-01-02,午餐,12,6.7,5.3,老人主动选择,社区代办,
O000061,E0052,M023,2026-01-29,早餐,12,6.7,5.3,老人主动选择,现场点餐,
O000062,E0035,M014,2026-04-02,晚餐,8,8.0,0.0,老人主动选择,小程序,
O000063,E0137,M020,2025-12-02,早餐,10,3.3,6.7,家属代订,小程序,
O000064,E0037,M026,2026-04-20,晚餐,8,3.3,4.7,老人主动选择,小程序,
O000065,E0105,M013,2025-12-20,晚餐,10,6.7,3.3,老人主动选择,现场点餐,
O000066,E0186,M029,2026-05-20,午餐,12,3.3,8.7,家属代订,小程序,
O000067,E0145,M005,2026-01-14,晚餐,10,3.3,6.7,家属代订,小程序,
O000068,E0294,M012,2025-12-31,午餐,10,3.3,6.7,家属代订,现场点餐,
O000069,E0293,M010,2026-04-17,午餐,8,3.3,4.7,老人主动选择,电话订餐,
O000070,E0147,M021,2025-12-23,午餐,12,3.3,8.7,家属代订,小程序,
O000071,E0015,M019,2025-12-29,午餐,10,3.3,6.7,家属代订,现场点餐,
O000072,E0041,M013,2025-12-31,午餐,12,3.3,8.7,家属代订,电话订餐,
O000073,E0229,M009,2025-12-18,午餐,10,6.7,3.3,老人主动选择,电话订餐,
O000074,E0286,M011,2025-12-11,午餐,12,12.0,0.0,老人主动选择,现场点餐,
O000075,E0127,M005,2026-03-13,午餐,10,3.3,6.7,家属代订,电话订餐,
O000076,E0283,M028,2026-01-16,午餐,15,13.3,1.7,食堂替换餐品,电话订餐,健康原因退餐
O000077,E0288,M013,2025-12-03,午餐,12,6.7,5.3,家属代订,现场点餐,
O000078,E0187,M010,2026-04-09,午餐,15,3.3,11.7,家属代订,电话订餐,
O000079,E0057,M018,2026-02-10,晚餐,15,3.3,11.7,老人主动选择,现场点餐,重复下单
O000080,E0165,M029,2025-12-03,午餐,15,13.3,1.7,老人主动选择,电话订餐,
O000081,E0152,M015,2026-04-15,晚餐,10,3.3,6.7,家属代订,电话订餐,
O000082,E0276,M020,2026-05-20,午餐,12,3.3,8.7,家属代订,小程序,
O000083,E0080,M012,2026-05-25,午餐,10,3.3,6.7,家属代订,小程序,
O000084,E0038,M004,2026-04-09,午餐,10,3.3,6.7,食堂替换餐品,现场点餐,
O000085,E0140,M005,2025-12-22,早餐,12,6.7,5.3,老人主动选择,电话订餐,
O000086,E0027,M008,2026-04-03,晚餐,8,8.0,0.0,老人主动选择,电话订餐,
O000087,E0212,M005,2025-12-14,早餐,10,3.3,6.7,食堂替换餐品,现场点餐,
O000088,E0127,M001,2026-04-14,午餐,15,3.3,11.7,老人主动选择,小程序,
O000089,E0132,M018,2025-12-20,早餐,10,3.3,6.7,家属代订,现场点餐,
O000090,E0256,M019,2026-02-15,早餐,8,8.0,0.0,食堂替换餐品,电话订餐,
O000091,E0266,M019,2026-04-09,晚餐,15,3.3,11.7,老人主动选择,小程序,
O000092,E0291,M010,2026-01-01,午餐,10,3.3,6.7,家属代订,小程序,
O000093,E0287,M022,2026-02-28,晚餐,12,12.0,0.0,老人主动选择,小程序,
O000094,E0012,M009,2025-12-03,午餐,15,6.7,8.3,家属代订,小程序,
O000095,E0040,M026,2026-05-18,午餐,8,6.7,1.3,老人主动选择,小程序,
O000096,E0149,M001,2025-12-12,午餐,10,3.3,6.7,家属代订,电话订餐,
O000097,E0085,M022,2026-02-15,午餐,12,12.0,0.0,家属代订,现场点餐,
O000098,E0246,M025,2026-05-22,晚餐,15,6.7,8.3,老人主动选择,电话订餐,
O000099,E0084,M020,2026-03-11,午餐,15,3.3,11.7,家属代订,现场点餐,
O000100,E0068,M026,2026-04-24,午餐,12,3.3,8.7,食堂替换餐品,电话订餐,过于油腻
O000101,E0256,M003,2026-04-07,晚餐,8,8.0,0.0,家属代订,小程序,
O000102,E0287,M013,2026-01-16,早餐,15,13.3,1.7,食堂替换餐品,小程序,
O000103,E0020,M006,2026-05-01,午餐,8,6.7,1.3,老人主动选择,小程序,
O000104,E0087,M006,2026-04-02,午餐,8,3.3,4.7,老人主动选择,社区代办,
O000105,E0123,M029,2026-01-03,早餐,12,12.0,0.0,老人主动选择,现场点餐,
O000106,E0155,M018,2026-05-27,午餐,15,3.3,11.7,食堂替换餐品,小程序,
O000107,E0086,M005,2026-01-11,早餐,10,10.0,0.0,老人主动选择,电话订餐,
O000108,E0293,M017,2026-01-02,晚餐,12,3.3,8.7,老人主动选择,社区代办,
O000109,E0022,M029,2026-04-02,午餐,12,6.7,5.3,老人主动选择,现场点餐,
O000110,E0052,M025,2025-12-27,晚餐,8,6.7,1.3,老人主动选择,电话订餐,
O000111,E0060,M025,2026-01-28,午餐,10,6.7,3.3,食堂替换餐品,小程序,
O000112,E0003,M003,2026-04-26,午餐,12,6.7,5.3,老人主动选择,小程序,
O000113,E0008,M005,2025-12-05,晚餐,8,6.7,1.3,食堂替换餐品,现场点餐,
O000114,E0008,M003,2025-12-11,晚餐,15,6.7,8.3,老人主动选择,现场点餐,
O000115,E0069,M023,2026-04-07,早餐,8,6.7,1.3,食堂替换餐品,电话订餐,
O000116,E0075,M013,2026-03-30,午餐,10,10.0,0.0,老人主动选择,小程序,
O000117,E0082,M015,2026-05-02,晚餐,10,6.7,3.3,老人主动选择,社区代办,
O000118,E0162,M017,2026-03-23,晚餐,8,8.0,0.0,老人主动选择,现场点餐,
O000119,E0233,M015,2025-12-15,晚餐,15,6.7,8.3,老人主动选择,小程序,
O000120,E0241,M005,2026-02-21,午餐,10,3.3,6.7,老人主动选择,小程序,
O000121,E0257,M022,2026-02-21,早餐,10,10.0,0.0,老人主动选择,电话订餐,
O000122,E0284,M014,2025-12-23,早餐,15,6.7,8.3,老人主动选择,小程序,
O000123,E0094,M011,2025-12-11,晚餐,12,12.0,0.0,老人主动选择,小程序,
O000124,E0289,M028,2026-03-26,午餐,10,3.3,6.7,家属代订,小程序,
O000125,E0061,M014,2026-05-11,早餐,8,6.7,1.3,老人主动选择,社区代办,
O000126,E0236,M007,2026-03-13,晚餐,15,3.3,11.7,家属代订,现场点餐,
