回访ID,老人ID,社区食堂,评分,回访日期,意见内容
S000001,E0248,朝阳幸福食堂,3,2026-01-12,
S000002,E0050,丰台惠民食堂,4,2026-03-23,
S000003,E0293,西城长者食堂,3,2026-02-26,
S000004,E0064,西城长者食堂,2,2026-03-15,
S000005,E0111,东城温馨食堂,1,2026-05-15,
S000006,E0077,朝阳幸福食堂,3,2025-12-13,
S000007,E0128,石景山爱心食堂,3,2026-02-16,
S000008,E0295,丰台惠民食堂,3,2026-03-20,
S000009,E0149,朝阳幸福食堂,4,2025-12-20,
S000010,E0251,海淀康乐食堂,5,2025-12-22,
S000011,E0202,朝阳幸福食堂,2,2026-01-13,送餐太慢，经常凉了
S000012,E0127,朝阳幸福食堂,3,2026-02-11,
S000013,E0106,石景山爱心食堂,1,2026-05-07,
S000014,E0258,海淀康乐食堂,4,2026-05-24,基本满意
S000015,E0188,西城长者食堂,3,2026-05-19,
S000016,E0220,朝阳幸福食堂,4,2026-03-31,基本满意
S000017,E0148,朝阳幸福食堂,2,2026-04-10,送餐太慢，经常凉了
S000018,E0136,丰台惠民食堂,3,2026-01-09,味道一般
S000019,E0261,石景山爱心食堂,3,2026-01-18,
S000020,E0064,西城长者食堂,4,2026-03-26,基本满意
S000021,E0101,石景山爱心食堂,4,2026-01-14,基本满意
S000022,E0102,西城长者食堂,3,2026-05-09,味道一般
S000023,E0256,西城长者食堂,3,2026-03-17,味道一般
S000024,E0037,朝阳幸福食堂,2,2026-02-16,
S000025,E0038,东城温馨食堂,3,2026-03-11,味道一般
S000026,E0040,东城温馨食堂,5,2026-01-03,
S000027,E0203,石景山爱心食堂,2,2026-03-08,送餐太慢，经常凉了
S000028,E0164,海淀康乐食堂,3,2025-12-20,
S000029,E0137,石景山爱心食堂,3,2025-12-05,味道一般
S000030,E0159,海淀康乐食堂,4,2026-04-24,
S000031,E0231,丰台惠民食堂,2,2026-01-28,送餐太慢，经常凉了
S000032,E0118,朝阳幸福食堂,4,2025-12-05,
S000033,E0051,东城温馨食堂,3,2026-02-18,
S000034,E0184,东城温馨食堂,2,2026-05-05,送餐太慢，经常凉了
S000035,E0057,海淀康乐食堂,3,2025-12-29,味道一般
S000036,E0065,海淀康乐食堂,3,2025-12-26,味道一般
S000037,E0174,朝阳幸福食堂,2,2026-02-07,
S000038,E0082,丰台惠民食堂,4,2026-02-27,基本满意
S000039,E0051,东城温馨食堂,4,2026-04-12,基本满意
S000040,E0143,西城长者食堂,3,2026-05-11,
S000041,E0078,海淀康乐食堂,4,2026-04-11,
S000042,E0065,海淀康乐食堂,2,2026-02-18,
S000043,E0263,丰台惠民食堂,3,2026-05-26,味道一般
S000044,E0220,朝阳幸福食堂,4,2026-02-01,基本满意
S000045,E0171,东城温馨食堂,4,2026-02-25,基本满意
S000046,E0186,丰台惠民食堂,3,2026-01-12,味道一般
S000047,E0168,海淀康乐食堂,4,2025-12-25,基本满意
S000048,E0266,西城长者食堂,3,2025-12-19,
S000049,E0123,朝阳幸福食堂,3,2026-02-26,
S000050,E0199,西城长者食堂,3,2026-05-11,
S000051,E0276,东城温馨食堂,4,2026-03-09,基本满意
S000052,E0062,丰台惠民食堂,2,2026-05-17,送餐太慢，经常凉了
S000053,E0040,东城温馨食堂,2,2025-12-07,送餐太慢，经常凉了
S000054,E0190,石景山爱心食堂,4,2026-02-10,
S000055,E0280,海淀康乐食堂,2,2026-02-04,
S000056,E0269,丰台惠民食堂,4,2025-12-30,基本满意
S000057,E0277,海淀康乐食堂,5,2026-03-24,很好，感谢政府
S000058,E0225,丰台惠民食堂,3,2026-03-09,味道一般
S000059,E0123,朝阳幸福食堂,3,2026-04-20,
S000060,E0027,丰台惠民食堂,1,2026-04-13,饭菜质量差，不卫生
S000061,E0168,海淀康乐食堂,3,2026-04-18,味道一般
S000062,E0081,海淀康乐食堂,2,2026-02-12,送餐太慢，经常凉了
S000063,E0153,石景山爱心食堂,3,2025-12-15,味道一般
S000064,E0174,朝阳幸福食堂,3,2026-03-30,
S000065,E0139,西城长者食堂,4,2026-03-06,基本满意
S000066,E0158,东城温馨食堂,3,2025-12-27,味道一般
S000067,E0244,丰台惠民食堂,2,2025-12-11,送餐太慢，经常凉了
S000068,E0205,海淀康乐食堂,3,2026-05-20,味道一般
S000069,E0264,石景山爱心食堂,4,2026-02-03,
S000070,E0246,石景山爱心食堂,4,2026-03-16,基本满意
S000071,E0175,东城温馨食堂,1,2026-02-04,
S000072,E0281,海淀康乐食堂,3,2026-02-10,
S000073,E0126,朝阳幸福食堂,3,2026-01-08,味道一般
S000074,E0092,朝阳幸福食堂,4,2026-01-20,
S000075,E0173,丰台惠民食堂,1,2026-04-03,
S000076,E0029,西城长者食堂,3,2026-04-15,味道一般
S000077,E0252,海淀康乐食堂,3,2026-03-21,味道一般
S000078,E0145,东城温馨食堂,4,2026-02-22,基本满意
S000079,E0255,石景山爱心食堂,4,2026-02-18,基本满意
