核销ID,订单ID,老人ID,核销时间,核销方式,操作人
V000001,O000001,E0300,2025-12-15 11:21,人脸识别,系统
V000002,O000002,E0051,2026-01-04 11:51,人脸识别,系统
V000003,O000003,E0012,2026-01-08 11:52,人脸识别,系统
V000004,O000004,E0167,2025-12-24 13:12,人脸识别,系统
V000005,O000005,E0112,2025-12-08 12:31,刷卡,系统
V000006,O000006,E0162,2026-01-12 11:26,人脸识别,系统
V000007,O000007,E0105,2025-12-19 08:43,人脸识别,系统
V000008,O000008,E0052,2026-02-22 12:39,人脸识别,系统
V000009,O000009,E0148,2026-05-18 19:29,人脸识别,系统
V000010,O000010,E0252,2026-01-16 17:34,人脸识别,系统
V000011,O000011,E0108,2025-12-26 13:12,手工核销,操作员3
V000012,O000012,E0011,2026-05-29 12:53,人脸识别,系统
V000013,O000013,E0099,2026-04-29 17:00,手工核销,操作员2
V000014,O000014,E0157,2026-04-12 11:41,手工核销,操作员2
V000015,O000015,E0284,2026-04-22 19:26,刷卡,系统
V000016,O000016,E0026,2026-05-13 18:21,人脸识别,系统
V000017,O000017,E0170,2026-03-11 11:56,人脸识别,系统
V000018,O000018,E0210,2026-02-01 12:46,人脸识别,系统
V000019,O000019,E0263,2026-03-03 08:42,手工核销,操作员1
V000020,O000020,E0042,2026-05-26 06:47,人脸识别,系统
V000021,O000021,E0284,2026-01-24 19:23,人脸识别,系统
V000022,O000022,E0085,2026-02-10 18:52,人脸识别,系统
V000023,O000023,E0172,2026-01-29 07:22,人脸识别,系统
V000024,O000024,E0149,2025-12-15 13:52,人脸识别,系统
V000025,O000025,E0081,2025-12-19 11:34,人脸识别,系统
V000026,O000026,E0266,2026-02-11 14:08,刷卡,系统
V000027,O000027,E0245,2026-04-17 11:26,刷卡,系统
V000028,O000028,E0084,2026-03-11 19:06,人脸识别,系统
V000029,O000029,E0111,2026-04-17 06:23,刷卡,系统
V000030,O000030,E0097,2026-01-26 08:15,人脸识别,系统
V000031,O000031,E0264,2026-02-06 08:22,刷卡,系统
V000032,O000032,E0219,2025-12-11 12:06,人脸识别,系统
V000033,O000033,E0176,2025-12-25 11:39,手工核销,操作员2
V000034,O000034,E0259,2026-02-10 12:55,人脸识别,系统
V000035,O000035,E0257,2026-04-08 11:21,刷卡,系统
V000036,O000036,E0252,2026-03-28 18:28,人脸识别,系统
V000037,O000037,E0268,2026-04-19 13:19,刷卡,系统
V000038,O000038,E0158,2025-12-02 11:36,人脸识别,系统
V000039,O000039,E0051,2026-03-26 19:05,人脸识别,系统
V000040,O000040,E0298,2026-02-20 17:30,人脸识别,系统
V000041,O000041,E0091,2025-12-20 12:26,刷卡,系统
